,Raw,P5(l<1000),P5(l<1000)+P5(l<500)
578.0,0.979031219628893,0.9791195892755913,0.9791195892755913
579.0,0.9792410993006065,0.9792648095603229,0.9792648095603229
580.0,0.9792787917691322,0.9794084884127396,0.9794084884127396
581.0,0.9792449248425269,0.9795506414572139,0.9795506414572139
582.0,0.9795262896466728,0.9796912842337138,0.9796912842337138
583.0,0.979581534576314,0.9798304321979476,0.9798304321979476
584.0,0.9796551862546443,0.9799681007215042,0.9799681007215042
585.0,0.9798905295195451,0.9801043050920004,0.9801043050920004
586.0,0.980065342272075,0.9802390605132212,0.9802390605132212
587.0,0.9801489557721449,0.9803723821052646,0.9803723821052646
588.0,0.9803147605498069,0.9805042849046814,0.9805042849046814
589.0,0.9807288059870369,0.9806347838646272,0.9806347838646272
590.0,0.9811206940047238,0.9807638938549954,0.9807638938549954
591.0,0.9814653397846969,0.9808916296625658,0.9808916296625658
592.0,0.9815550625415708,0.9810180059911482,0.9810180059911482
593.0,0.9810417681002263,0.9811430374617245,0.9811430374617245
594.0,0.9810839972715012,0.9812667386125908,0.9812667386125908
595.0,0.9815241523638615,0.9813891238995036,0.9813891238995036
596.0,0.9818948355252585,0.9815102076958202,0.9815102076958202
597.0,0.9816692760412281,0.9816300042926438,0.9816300042926438
598.0,0.9816060519882451,0.9817485278989673,0.9817485278989673
599.0,0.9817386843446866,0.9818657926418133,0.9818657926418133
600.0,0.9817461020018565,0.9819818125663815,0.9819818125663815
601.0,0.9819129218399452,0.9820966016361912,0.9820966016361912
602.0,0.9818790141963457,0.9822101737332218,0.9822101737332218
603.0,0.9816766136628288,0.982322542658056,0.982322542658056
604.0,0.982070025283689,0.9824337221300288,0.9824337221300288
605.0,0.9823217646095637,0.9825437257873655,0.9825437257873655
606.0,0.9823299371867312,0.9826525671873254,0.9826525671873254
607.0,0.982251360641626,0.9827602598063472,0.9827602598063472
608.0,0.9824323814603186,0.9828668170401915,0.9828668170401915
609.0,0.9826644418892009,0.9829722522040836,0.9829722522040836
610.0,0.9828371294238123,0.9830765785328544,0.9830765785328544
611.0,0.9829370963752738,0.9831798091810926,0.9831798091810926
612.0,0.982658915879022,0.9832819572232745,0.9832819572232745
613.0,0.9825855908526548,0.9833830356539188,0.9833830356539188
614.0,0.9830218335449816,0.983483057387726,0.983483057387726
615.0,0.983211845709823,0.9835820352597182,0.9835820352597182
616.0,0.9832324834665997,0.9836799820253872,0.9836799820253872
617.0,0.9832041511637518,0.9837769103608376,0.9837769103608376
618.0,0.9832875180956476,0.9838728328629265,0.9838728328629265
619.0,0.9835853135151554,0.9839677620494081,0.9839677620494081
620.0,0.9837805937070867,0.9840617103590803,0.9840617103590803
621.0,0.9837343509566604,0.9841546901519254,0.9841546901519254
622.0,0.9835992805919345,0.9842467137092505,0.9842467137092505
623.0,0.9837054579145843,0.9843377932338364,0.9843377932338364
624.0,0.984079788952132,0.9844279408500776,0.9844279408500776
625.0,0.9845377242686464,0.9845171686041254,0.9845171686041254
626.0,0.9845302997164502,0.9846054884640336,0.9846054884640336
627.0,0.9844246484415105,0.9846929123198984,0.9846929123198984
628.0,0.9843787470952081,0.9847794519840063,0.9847794519840063
629.0,0.9843789311352884,0.9848651191909703,0.9848651191909703
630.0,0.984605868036047,0.9849499255978831,0.9849499255978831
631.0,0.9847527300810228,0.985033882784448,0.985033882784448
632.0,0.9846785609986066,0.9851170022531368,0.9851170022531368
633.0,0.9847813608948576,0.9851992954293183,0.9851992954293183
634.0,0.9847873402239962,0.9852807736614126,0.9852807736614126
635.0,0.9848538461261114,0.9853614482210282,0.9853614482210282
636.0,0.9851887126289147,0.9854413303031113,0.9854413303031113
637.0,0.9852423659073168,0.9855204310260797,0.9855204310260797
638.0,0.9852522435355323,0.9855987614319766,0.9855987614319766
639.0,0.9852926489090218,0.9856763324866058,0.9856763324866058
640.0,0.9851845358953659,0.9857531550796792,0.9857531550796792
641.0,0.9854924755106024,0.9858292400249609,0.9858292400249609
642.0,0.9857865692294322,0.9859045980604038,0.9859045980604038
643.0,0.985641786659416,0.985979239848304,0.985979239848304
644.0,0.9853907930984438,0.9860531759754327,0.9860531759754327
645.0,0.9855167897896709,0.9861264169531869,0.9861264169531869
646.0,0.9859713352335373,0.9861989732177303,0.9861989732177303
647.0,0.9863346272700853,0.9862708551301373,0.9862708551301373
648.0,0.986306827498491,0.9863420729765333,0.9863420729765333
649.0,0.9861721696666781,0.9864126369682433,0.9864126369682433
650.0,0.9861404228168039,0.9864825572419311,0.9864825572419311
651.0,0.9861426357094034,0.9865518438597431,0.9865518438597431
652.0,0.986106539346883,0.9866205068094529,0.9866205068094529
653.0,0.9862166150394804,0.9866885560046055,0.9866885560046055
654.0,0.9866071767264938,0.9867560012846555,0.9867560012846555
655.0,0.9868045514222861,0.9868228524151181,0.9868228524151181
